\datem\exp_data\captex\captex4.txt           
year mn dy  shr  dur   lat     lon    pmch  stn
1983 10 16 0300 0600 40.20  -78.25   187.2  502
1983 10 16 0300 0600 40.67  -78.23   436.8  504
1983 10 16 0300 0600 41.30  -78.48      .0  506
1983 10 16 0300 0600 41.80  -78.63      .0  508
1983 10 16 0300 0600 42.25  -78.80      .0  510
1983 10 16 0300 0600 42.48  -78.93      .0  512
1983 10 16 0300 0600 43.52  -79.92      .0  554
1983 10 16 0300 0600 43.98  -80.75      .0  556
1983 10 16 0300 0600 39.92  -76.75   327.6  602
1983 10 16 0300 0600 41.25  -76.92    31.2  606
1983 10 16 0300 0600 41.98  -77.57    15.6  608
1983 10 16 0300 0600 42.88  -78.03    15.6  612
1983 10 16 0300 0600 43.03  -78.18      .0  614
1983 10 16 0300 0600 43.92  -78.67      .0  652
1983 10 16 0300 0600 44.62  -79.53    15.6  654
1983 10 16 0300 0600 40.37  -75.93   171.6  702
1983 10 16 0300 0600 41.83  -75.87      .0  706
1983 10 16 0300 0600 42.45  -76.45    15.6  708
1983 10 16 0300 0600 43.98  -77.22      .0  752
1983 10 16 0300 0600 44.28  -77.78      .0  754
1983 10 16 0300 0600 44.93  -78.72    31.2  756
1983 10 16 0300 0600 39.93  -74.70    46.8  802
1983 10 16 0300 0600 40.45  -74.80      .0  803
1983 10 16 0300 0600 40.90  -74.60      .0  804
1983 10 16 0300 0600 41.30  -74.67      .0  805
1983 10 16 0300 0600 41.63  -74.80      .0  806
1983 10 16 0300 0600 42.92  -75.12      .0  809
1983 10 16 0300 0600 43.23  -75.40      .0  810
1983 10 16 0300 0600 43.58  -75.52      .0  811
1983 10 16 0300 0600 44.48  -76.03      .0  852
1983 10 16 0300 0600 40.67  -73.52      .0  902
1983 10 16 0300 0600 40.85  -73.97      .0  903
1983 10 16 0300 0600 43.05  -74.20    15.6  908
1983 10 16 0300 0600 43.97  -74.10      .0  910
1983 10 16 0300 0600 44.80  -75.00      .0  912
1983 10 16 0300 0600 45.55  -75.52      .0  952
1983 10 16 0300 0600 41.10  -72.37      .0    2
1983 10 16 0300 0600 41.95  -72.30      .0    4
1983 10 16 0300 0600 43.03  -72.80      .0    6
1983 10 16 0300 0600 44.90  -73.80      .0   10
1983 10 16 0300 0600 45.98  -74.00      .0   52
1983 10 16 0300 0600 41.73  -71.43      .0  102
1983 10 16 0300 0600 42.70  -71.17      .0  104
1983 10 16 0300 0600 44.27  -71.30      .0  106
1983 10 16 0300 0600 44.93  -72.20      .0  108
1983 10 16 0600 0600 43.07  -76.83      .0  710
1983 10 16 0600 0600 41.27  -73.80      .0  904
1983 10 16 0900 0600 41.83  -75.87      .0  706
1983 10 16 0900 0600 42.92  -75.12      .0  809
1983 10 16 0900 0600 43.23  -75.40      .0  810
1983 10 16 0900 0600 43.58  -75.52      .0  811
1983 10 16 0900 0600 44.48  -76.03      .0  852
1983 10 16 0900 0600 40.85  -73.97      .0  903
1983 10 16 0900 0600 43.97  -74.10      .0  910
1983 10 16 0900 0600 44.80  -75.00      .0  912
1983 10 16 0900 0600 45.55  -75.52      .0  952
1983 10 16 0900 0600 41.10  -72.37      .0    2
1983 10 16 0900 0600 41.95  -72.30      .0    4
1983 10 16 0900 0600 44.90  -73.80      .0   10
1983 10 16 0900 0600 45.98  -74.00      .0   52
1983 10 16 0900 0600 41.73  -71.43      .0  102
1983 10 16 0900 0600 42.70  -71.17      .0  104
